"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error","New York!!Total!!Estimate","New York!!Total!!Margin of Error","New York!!Percent!!Estimate","New York!!Percent!!Margin of Error","New York!!Male!!Estimate","New York!!Male!!Margin of Error","New York!!Percent Male!!Estimate","New York!!Percent Male!!Margin of Error","New York!!Female!!Estimate","New York!!Female!!Margin of Error","New York!!Percent Female!!Estimate","New York!!Percent Female!!Margin of Error","Erie County, New York!!Total!!Estimate","Erie County, New York!!Total!!Margin of Error","Erie County, New York!!Percent!!Estimate","Erie County, New York!!Percent!!Margin of Error","Erie County, New York!!Male!!Estimate","Erie County, New York!!Male!!Margin of Error","Erie County, New York!!Percent Male!!Estimate","Erie County, New York!!Percent Male!!Margin of Error","Erie County, New York!!Female!!Estimate","Erie County, New York!!Female!!Margin of Error","Erie County, New York!!Percent Female!!Estimate","Erie County, New York!!Percent Female!!Margin of Error","Buffalo city, New York!!Total!!Estimate","Buffalo city, New York!!Total!!Margin of Error","Buffalo city, New York!!Percent!!Estimate","Buffalo city, New York!!Percent!!Margin of Error","Buffalo city, New York!!Male!!Estimate","Buffalo city, New York!!Male!!Margin of Error","Buffalo city, New York!!Percent Male!!Estimate","Buffalo city, New York!!Percent Male!!Margin of Error","Buffalo city, New York!!Female!!Estimate","Buffalo city, New York!!Female!!Margin of Error","Buffalo city, New York!!Percent Female!!Estimate","Buffalo city, New York!!Percent Female!!Margin of Error"
"        62 years and over","66,395,660","±61,054","20.2%","±0.1","29,927,016","±35,972","18.5%","±0.1","36,468,644","±40,373","21.9%","±0.1","4,044,590","±14,715","20.8%","±0.1","1,779,159","±9,544","18.8%","±0.1","2,265,431","±10,063","22.6%","±0.1","208,266","±2,797","22.7%","±0.3","91,737","±1,874","20.6%","±0.4","116,529","±2,059","24.6%","±0.4","40,942","±2,390","16.0%","±0.9","17,438","±1,484","14.3%","±1.1","23,504","±1,685","17.6%","±1.3"
"        65 years and over","54,074,028","±24,915","16.5%","±0.1","24,044,281","±16,352","14.9%","±0.1","30,029,747","±17,170","18.0%","±0.1","3,295,968","±3,163","16.9%","±0.1","1,421,801","±2,281","15.0%","±0.1","1,874,167","±1,900","18.7%","±0.1","169,007","±300","18.4%","±0.1","72,826","±188","16.4%","±0.1","96,181","±229","20.3%","±0.1","31,526","±2,137","12.3%","±0.8","12,899","±1,434","10.6%","±1.1","18,627","±1,329","13.9%","±1.0"
"        75 years and over","22,498,467","±13,862","6.9%","±0.1","9,323,252","±10,172","5.8%","±0.1","13,175,215","±10,962","7.9%","±0.1","1,432,076","±2,713","7.4%","±0.1","564,944","±1,826","6.0%","±0.1","867,132","±1,751","8.7%","±0.1","73,456","±375","8.0%","±0.1","28,333","±305","6.4%","±0.1","45,123","±254","9.5%","±0.1","11,588","±1,384","4.5%","±0.5","4,314","±831","3.5%","±0.7","7,274","±959","5.4%","±0.7"
"    SUMMARY INDICATORS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Median age (years)","38.5","±0.1","(X)","(X)","37.2","±0.1","(X)","(X)","39.8","±0.1","(X)","(X)","39.2","±0.2","(X)","(X)","37.6","±0.1","(X)","(X)","40.8","±0.2","(X)","(X)","40.3","±0.3","(X)","(X)","38.4","±0.5","(X)","(X)","42.2","±0.4","(X)","(X)","32.7","±0.7","(X)","(X)","31.6","±1.0","(X)","(X)","33.7","±0.9","(X)","(X)"
"        Sex ratio (males per 100 females)","97.0","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","94.5","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","93.7","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","91.0","±3.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","63.1","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","60.3","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","62.8","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","55.4","±2.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","26.9","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","27.2","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.9","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","19.2","±1.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","36.3","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","33.1","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","32.8","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","36.2","±2.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","2.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
